Dataset,Oversampler,Classifier,Metric,Mean,Std,CI_Lower,CI_Upper,N_folds,Scores
WineQuality,No_Oversampling,RandomForest,f1,0.6039512208076602,0.04752064433484623,0.5640669710806697,0.6438354705346507,5,"[0.5555555555555556, 0.6268656716417911, 0.676056338028169, 0.547945205479452, 0.6133333333333333]"
WineQuality,No_Oversampling,RandomForest,roc_auc,0.9158162304770482,0.022314502787246077,0.8940880010495054,0.929661126344499,5,"[0.9249433296952397, 0.9199059692721013, 0.9328063241106719, 0.8720355731225296, 0.9293899561846983]"
WineQuality,No_Oversampling,RandomForest,precision,0.772389846743295,0.09018664668748583,0.6954741379310345,0.8493055555555555,5,"[0.6896551724137931, 0.875, 0.8888888888888888, 0.6896551724137931, 0.71875]"
WineQuality,No_Oversampling,RandomForest,recall,0.49767441860465117,0.036535314295522946,0.4676532769556025,0.5298097251585624,5,"[0.46511627906976744, 0.4883720930232558, 0.5454545454545454, 0.45454545454545453, 0.5348837209302325]"
WineQuality,No_Oversampling,RandomForest,balanced_accuracy,0.7368963836862527,0.021100702351843782,0.718666589458112,0.7551261779143934,5,"[0.7163126521702627, 0.7387708840567542, 0.767292490118577, 0.7109683794466403, 0.7511375126390293]"
WineQuality,No_Oversampling,RandomForest,kappa,0.556505061343842,0.05434749279759099,0.5102587372562145,0.6028715977767577,5,"[0.5016061520490607, 0.5871180842279108, 0.6382225717656311, 0.49250288350634375, 0.563075615170264]"
WineQuality,No_Oversampling,RandomForest,mcc,0.574357955500252,0.059976489403866205,0.5253729150328763,0.6311039837573661,5,"[0.5139732738954355, 0.618349478731599, 0.6623414578317481, 0.5061540874598379, 0.5709714795826397]"
WineQuality,No_Oversampling,RandomForest,training_time,0.2089104175567627,0.004699152751325128,,,5,"[0.2119743824005127, 0.20284748077392578, 0.21246552467346191, 0.20355939865112305, 0.21370530128479004]"
WineQuality,No_Oversampling,LogisticRegression,f1,0.4284131960539658,0.09472847670656648,0.34721999312163254,0.5096063989862992,5,"[0.36363636363636365, 0.39344262295081966, 0.5555555555555556, 0.3076923076923077, 0.5217391304347826]"
WineQuality,No_Oversampling,LogisticRegression,roc_auc,0.8765470000439137,0.021600435609420227,0.8552295038111494,0.8916919544040345,5,"[0.8815380740491982, 0.8768365376542692, 0.8964920948616601, 0.8357213438735178, 0.8921469497809235]"
WineQuality,No_Oversampling,LogisticRegression,precision,0.6142379359770664,0.09640160453023774,0.5285236502627807,0.6959706959706959,5,"[0.5217391304347826, 0.6666666666666666, 0.7142857142857143, 0.47619047619047616, 0.6923076923076923]"
WineQuality,No_Oversampling,LogisticRegression,recall,0.3317124735729387,0.08841760160257624,0.25835095137420716,0.41226215644820297,5,"[0.27906976744186046, 0.27906976744186046, 0.45454545454545453, 0.22727272727272727, 0.4186046511627907]"
WineQuality,No_Oversampling,LogisticRegression,balanced_accuracy,0.6499364439752937,0.04580554580888097,0.6129012120968771,0.6906108825457673,5,"[0.6196792880530602, 0.6287045588111829, 0.7127799736495388, 0.5937088274044796, 0.6948095719582069]"
WineQuality,No_Oversampling,LogisticRegression,kappa,0.369851232677937,0.09993231812439046,0.28346538039498703,0.4562370849608871,5,"[0.29787900950788837, 0.3411974182060983, 0.5023328149300155, 0.24018573237653007, 0.46766118836915305]"
WineQuality,No_Oversampling,LogisticRegression,mcc,0.39253832122679544,0.09805287675143477,0.30689039312315003,0.47813199896223296,5,"[0.3160683158399959, 0.38102924847758896, 0.5186461809489394, 0.26064304272908473, 0.4863048181383683]"
WineQuality,No_Oversampling,LogisticRegression,training_time,0.018226814270019532,0.0010472705084686093,,,5,"[0.02015066146850586, 0.017282485961914062, 0.017470598220825195, 0.017731666564941406, 0.018498659133911133]"
WineQuality,No_Oversampling,SVM,f1,0.4167268746579092,0.04278223998035164,0.38244116037219483,0.45460317460317456,5,"[0.4, 0.41379310344827586, 0.47619047619047616, 0.3492063492063492, 0.4444444444444444]"
WineQuality,No_Oversampling,SVM,roc_auc,0.8524321697130309,0.041624163594254554,0.8205462527358984,0.8964431855099232,5,"[0.8334312820082276, 0.8495508353622702, 0.8502552700922267, 0.8012187088274045, 0.9277047522750254]"
WineQuality,No_Oversampling,SVM,precision,0.714860681114551,0.07948544852811243,0.6464396284829721,0.7769659442724459,5,"[0.7058823529411765, 0.8, 0.7894736842105263, 0.5789473684210527, 0.7]"
WineQuality,No_Oversampling,SVM,recall,0.2949260042283298,0.03339276451994578,0.2674418604651163,0.3254756871035941,5,"[0.27906976744186046, 0.27906976744186046, 0.3409090909090909, 0.25, 0.32558139534883723]"
WineQuality,No_Oversampling,SVM,balanced_accuracy,0.6380531763411308,0.01820027208261827,0.6232306879890589,0.6544110502697377,5,"[0.6305096129628075, 0.6341197212660565, 0.6632081686429513, 0.6105072463768115, 0.6519211324570273]"
WineQuality,No_Oversampling,SVM,kappa,0.36643378207559796,0.046092057687650456,0.32670087276761156,0.4025074675961001,5,"[0.3505468485736837, 0.370005790387956, 0.4288186932064042, 0.2903504976200779, 0.3924470805898679]"
WineQuality,No_Oversampling,SVM,mcc,0.41109863709403116,0.051097124606056005,0.35918452127571626,0.4503854312603964,5,"[0.39691803694634065, 0.43281390109542806, 0.4756557140197622, 0.3220635561122709, 0.42804197729635435]"
WineQuality,No_Oversampling,SVM,training_time,0.11580324172973633,0.0026341620147310473,,,5,"[0.11874747276306152, 0.11505484580993652, 0.11629605293273926, 0.11117196083068848, 0.11774587631225586]"
WineQuality,No_Oversampling,BalancedRF,f1,0.6149524541853308,0.05753709987687823,0.5576757489086256,0.6634324324324324,5,"[0.6301369863013698, 0.6153846153846154, 0.6933333333333334, 0.5142857142857142, 0.6216216216216216]"
WineQuality,No_Oversampling,BalancedRF,roc_auc,0.9169476994450164,0.022864202216461727,0.89354193442162,0.9324328648872969,5,"[0.9241457476282429, 0.9221727814625136, 0.9279479578392622, 0.8725296442687747, 0.9379423660262892]"
WineQuality,No_Oversampling,BalancedRF,precision,0.7897420858711183,0.07609648328447033,0.7270306038047976,0.852453567937439,5,"[0.7666666666666667, 0.9090909090909091, 0.8387096774193549, 0.6923076923076923, 0.7419354838709677]"
WineQuality,No_Oversampling,BalancedRF,recall,0.5069767441860465,0.06314455286160806,0.4566596194503171,0.5572938689217759,5,"[0.5348837209302325, 0.46511627906976744, 0.5909090909090909, 0.4090909090909091, 0.5348837209302325]"
WineQuality,No_Oversampling,BalancedRF,balanced_accuracy,0.7426305789679251,0.03200572558033801,0.7133898991078872,0.7682173722787441,5,"[0.7548064814037444, 0.7289480312316347, 0.7863965744400527, 0.6900527009222661, 0.7529491068419278]"
WineQuality,No_Oversampling,BalancedRF,kappa,0.5695193811920621,0.06266060781230895,0.5061771279901728,0.6224897354348767,5,"[0.5842155919153031, 0.5768986672308019, 0.6540052651372696, 0.4590294351630867, 0.5734479465138491]"
